
,,,,,,,
,X_POS,Y_POS,Z_POS,Y_ROT,JUMP,SUCCESS,TRIALCOUNT
0.04,110.409996,113.551994,5.61,0,0,0,,6
0.06,110.409996,113.534073,5.61,0,0,0,,6
0.08,110.409996,113.534073,5.61,0,0,0,,6
0.099999994,110.409996,113.534073,5.61,0,0,0,,6
0.11999999,110.409996,113.534073,5.61,0,0,0,,6
0.139999986,110.409996,113.534073,5.61,0,0,0,,6
0.159999982,110.409996,113.274834,5.61,0,0,0,,6
0.179999977,110.409996,113.274834,5.61,0,0,0,,6
0.199999973,110.409996,113.274834,5.61,0,0,0,,6
0.219999969,110.409996,113.274834,5.61,0,0,0,,6
0.239999965,110.409996,113.274834,5.61,0,0,0,,6
0.259999961,110.409996,112.767494,5.61,0,0,0,,6
0.279999971,110.409996,112.767494,5.61,0,0,0,,6
0.299999982,110.409996,112.767494,5.61,0,0,0,,6
0.32,110.409996,112.767494,5.61,0,0,0,,6
0.34,110.409996,112.767494,5.61,0,0,0,,6
0.36,110.409996,112.012054,5.61,0,0,0,,6
0.380000025,110.409996,112.012054,5.61,0,0,0,,6
0.400000036,110.409996,112.012054,5.61,0,0,0,,6
0.420000046,110.409996,112.012054,5.61,0,0,0,,6
0.440000057,110.409996,112.012054,5.61,0,0,0,,6
0.460000068,110.409996,111.008514,5.61,0,0,0,,6
0.480000079,110.409996,111.008514,5.61,0,0,0,,6
0.50000006,110.409996,111.008514,5.61,0,0,0,,6
0.520000041,110.409996,111.008514,5.61,0,0,0,,6
0.54,110.409996,109.820496,5.61,0,0,0,,6
0.56,110.409996,109.820496,5.61,0,0,0,,6
0.58,110.409996,109.820496,5.61,0,0,0,,6
0.599999964,110.409996,109.820496,5.61,0,0,0,,6
0.619999945,110.409996,108.719154,5.61,0,0,0,,6
0.6399999,110.409996,108.719154,5.61,0,0,0,,6
0.6599999,110.409996,108.719154,5.61,0,0,0,,6
0.6799999,110.409996,108.719154,5.61,0,0,0,,6
0.699999869,110.409996,107.391884,5.61,0,0,0,,6
0.71999985,110.409996,107.391884,5.61,0,0,0,,6
0.739999831,110.409996,107.391884,5.61,0,0,0,,6
0.7599998,110.409996,107.391884,5.61,0,0,0,,6
0.7799998,110.409996,106.006538,5.61,0,0,0,,6
0.7999998,110.409996,106.006538,5.61,0,0,0,,6
0.819999754,110.409996,106.006538,5.61,0,0,0,,6
0.839999735,110.409996,106.006538,5.61,0,0,0,,6
0.8599997,110.409996,104.271477,5.61,0,0,0,,6
0.8799997,110.409996,104.271477,5.61,0,0,0,,6
0.8999997,110.409996,104.271477,5.61,0,0,0,,6
0.919999659,110.409996,104.271477,5.61,0,0,0,,6
0.93999964,110.409996,102.599083,5.61,0,0,0,,6
0.9599996,110.409996,102.599083,5.61,0,0,0,,6
0.9799996,110.409996,102.599083,5.61,0,0,0,,6
0.9999996,110.409996,102.599083,5.61,0,0,0,,6
1.01999962,110.409996,100.788109,5.61,0,0,0,,6
1.0399996,110.409996,100.788109,5.61,0,0,0,,6
1.05999959,110.409996,100.788109,5.61,0,0,0,,6
1.07999957,110.409996,98.86513,5.61,0,0,0,,6
1.09999955,110.409996,98.86513,5.61,0,0,0,,6
1.11999953,110.409996,98.86513,5.61,0,0,0,,6
1.13999951,110.409996,98.86513,5.61,0,0,0,,6
1.15999949,110.409996,97.06991,5.61,0,0,0,,6
1.17999947,110.409996,97.06991,5.61,0,0,0,,6
1.19999945,110.409996,97.06991,5.61,0,0,0,,6
1.21999943,110.409996,94.85736,5.61,0,0,0,,6
1.23999941,110.409996,94.85736,5.61,0,0,0,,6
1.25999939,110.409996,94.85736,5.61,0,0,0,,6
1.27999938,110.409996,94.85736,5.61,0,0,0,,6
1.29999936,110.409996,92.80749,5.61,0,0,0,,6
1.31999934,110.409996,92.80749,5.61,0,0,0,,6
1.33999932,110.409996,92.80749,5.61,0,0,0,,6
1.3599993,110.409996,92.80749,5.61,0,0,0,,6
1.37999928,110.409996,90.12599,5.61,0,0,0,,6
1.39999926,110.409996,90.12599,5.61,0,0,0,,6
1.41999924,110.409996,90.12599,5.61,0,0,0,,6
1.43999922,110.409996,87.48571,5.61,0,0,0,,6
1.4599992,110.409996,87.48571,5.61,0,0,0,,6
1.47999918,110.409996,87.48571,5.61,0,0,0,,6
1.49999917,110.409996,87.48571,5.61,0,0,0,,6
1.51999915,110.409996,85.11176,5.61,0,0,0,,6
1.53999913,110.409996,85.11176,5.61,0,0,0,,6
1.55999911,110.409996,85.11176,5.61,0,0,0,,6
1.57999909,110.409996,82.246315,5.61,0,0,0,,6
1.59999907,110.409996,82.246315,5.61,0,0,0,,6
1.619999,110.409996,82.246315,5.61,0,0,0,,6
1.639999,110.409996,82.246315,5.61,0,0,0,,6
1.659999,110.409996,79.23758,5.61,0,0,0,,6
1.679999,110.409996,79.23758,5.61,0,0,0,,6
1.699999,110.409996,79.23758,5.61,0,0,0,,6
1.719999,110.409996,79.23758,5.61,0,0,0,,6
1.73999894,110.409996,75.93352,5.61,0,0,0,,6
1.75999892,110.409996,75.93352,5.61,0,0,0,,6
1.7799989,110.409996,75.93352,5.61,0,0,0,,6
1.79999888,110.409996,75.93352,5.61,0,0,0,,6
1.81999886,110.409996,72.55726,5.61,0,0,0,,6
1.83999884,110.409996,72.55726,5.61,0,0,0,,6
1.85999882,110.409996,72.55726,5.61,0,0,0,,6
1.8799988,110.409996,72.55726,5.61,0,0,0,,6
1.89999878,110.409996,68.75138,5.61,0,0,0,,6
1.91999876,110.409996,68.75138,5.61,0,0,0,,6
1.93999875,110.409996,68.75138,5.61,0,0,0,,6
1.95999873,110.409996,68.75138,5.61,0,0,0,,6
1.97999871,110.409996,64.7667847,5.61,0,0,0,,6
1.99999869,110.409996,64.7667847,5.61,0,0,0,,6
2.01999879,110.409996,64.7667847,5.61,0,0,0,,6
2.03999877,110.409996,64.7667847,5.61,0,0,0,,6
2.05999875,110.409996,60.4371071,5.61,0,0,0,,6
2.07999873,110.409996,60.4371071,5.61,0,0,0,,6
2.09999871,110.409996,60.4371071,5.61,0,0,0,,6
2.11999869,110.409996,60.4371071,5.61,0,0,0,,6
2.13999867,110.409996,56.2827835,5.61,0,0,0,,6
2.15999866,110.409996,56.2827835,5.61,0,0,0,,6
2.17999864,110.409996,56.2827835,5.61,0,0,0,,6
2.19999862,110.409996,56.2827835,5.61,0,0,0,,6
2.2199986,110.409996,51.8304863,5.61,0,0,0,,6
2.23999858,110.409996,51.8304863,5.61,0,0,0,,6
2.25999856,110.409996,51.8304863,5.61,0,0,0,,6
2.27999854,110.409996,51.8304863,5.61,0,0,0,,6
2.29999852,110.409996,47.573925,5.61,0,0,0,,6
2.3199985,110.409996,47.573925,5.61,0,0,0,,6
2.33999848,110.409996,47.573925,5.61,0,0,0,,6
2.35999846,110.409996,47.573925,5.61,0,0,0,,6
2.37999845,110.409996,47.573925,5.61,0,0,0,,6
2.39999843,110.409996,42.4222755,5.61,0,0,0,,6
2.41999841,110.409996,42.4222755,5.61,0,0,0,,6
2.43999839,110.409996,42.4222755,5.61,0,0,0,,6
2.45999837,110.409996,42.4222755,5.61,0,0,0,,6
2.47999835,110.409996,36.7072678,5.61,0,0,0,,6
2.49999833,110.409996,36.7072678,5.61,0,0,0,,6
2.51999831,110.409996,36.7072678,5.61,0,0,0,,6
2.53999829,110.409996,36.7072678,5.61,0,0,0,,6
2.55999827,110.409996,36.7072678,5.61,0,0,0,,6
2.57999825,110.409996,31.4583664,5.61,0,0,0,,6
2.59999824,110.409996,31.4583664,5.61,0,0,0,,6
2.61999822,110.409996,31.4583664,5.61,0,0,0,,6
2.6399982,110.409996,31.4583664,5.61,0,0,0,,6
2.65999818,110.409996,25.3756771,5.61,0,0,0,,6
2.67999816,110.409996,25.3756771,5.61,0,0,0,,6
2.69999814,110.409996,25.3756771,5.61,0,0,0,,6
2.71999812,110.409996,25.3756771,5.61,0,0,0,,6
2.739998,110.409996,19.7918282,5.61,0,0,0,,6
2.759998,110.409996,19.7918282,5.61,0,0,0,,6
2.779998,110.409996,19.7918282,5.61,0,0,0,,6
2.799998,110.409996,19.7918282,5.61,0,0,0,,6
2.819998,110.409996,14.4891653,5.61,0,0,0,,6
2.839998,110.409996,14.4891653,5.61,0,0,0,,6
2.859998,110.409996,14.4891653,5.61,0,0,0,,6
2.879998,110.409996,14.4891653,5.61,0,0,0,,6
2.899998,110.409996,8.583945,5.61,0,0,0,,6
2.919998,110.409996,8.583945,5.61,0,0,0,,6
2.939998,110.409996,8.583945,5.61,0,0,0,,6
2.959998,110.409996,8.583945,5.61,0,0,0,,6
2.97999787,110.409996,8.583945,5.61,0,0,0,,6
2.99999785,110.409996,4.27482033,5.61,0,0,0,,6
3.01999784,110.409996,4.27482033,5.61,0,0,0,,6
3.03999782,110.409996,4.27482033,5.61,0,0,0,,6
3.0599978,110.409996,4.27482033,5.61,0,0,0,,6
3.07999778,110.409996,4.27482033,5.61,0,0,0,,6
3.09999776,110.409996,4.27482033,5.61,0,0,0,,6
3.11999774,110.409996,4.27482033,5.61,0,0,0,,6
3.13999772,110.409996,4.27482033,5.61,0,0,0,,6
3.1599977,110.409996,4.27482033,5.61,0,0,0,,6
3.17999768,110.409996,4.27482033,5.61,0,0,0,,6
3.19999766,110.409996,4.27482033,5.61,0,0,0,,6
3.21999764,110.409996,4.27482033,5.61,0,0,0,,6
3.23999763,110.409996,4.27482033,5.61,0,0,0,,6
3.25999761,110.409996,4.27482033,5.61,0,0,0,,6
3.27999759,110.409996,4.27482033,5.61,0,0,0,,6
3.29999757,110.409996,4.27482033,5.61,0,0,0,,6
3.31999755,110.409996,4.27482033,5.61,0,0,0,,6
3.33999753,110.409996,4.27482033,5.61,0,0,0,,6
3.35999751,110.409996,4.27482033,5.61,0,0,0,,6
3.37999749,110.432968,4.27482033,6.175146,0.02030982,0,0,,6
3.39999747,110.432968,4.27482033,6.175146,0.02030982,0,0,,6
3.41999745,110.432968,4.27482033,6.175146,0.02030982,0,0,,6
3.43999743,110.432968,4.27482033,6.175146,0.02030982,0,0,,6
3.45999742,110.432968,4.27482033,6.175146,0.02030982,0,0,,6
3.4799974,110.503448,4.27482033,6.755561,0.06038621,0,0,,6
3.49999738,110.503448,4.27482033,6.755561,0.06038621,0,0,,6
3.51999736,110.503448,4.27482033,6.755561,0.06038621,0,0,,6
3.53999734,110.503448,4.27482033,6.755561,0.06038621,0,0,,6
3.55999732,110.503448,4.27482033,6.755561,0.06038621,0,0,,6
3.5799973,110.575493,4.27482,7.34875345,0.0603908524,0,0,,6
3.59999728,110.575493,4.27482,7.34875345,0.0603908524,0,0,,6
3.61999726,110.575493,4.27482,7.34875345,0.0603908524,0,0,,6
3.63999724,110.575493,4.27482,7.34875345,0.0603908524,0,0,,6
3.65999722,110.575493,4.27482,7.34875345,0.0603908524,0,0,,6
3.67999721,110.539864,4.27482033,7.055404,-0.392870635,0,0,,6
3.69999719,110.539864,4.27482033,7.055404,-0.392870635,0,0,,6
3.71999717,110.539864,4.27482033,7.055404,-0.392870635,0,0,,6
3.73999715,110.539864,4.27482033,7.055404,-0.392870635,0,0,,6
3.75999713,110.539864,4.27482033,7.055404,-0.392870635,0,0,,6
3.779997,110.59082,4.27482,7.47501755,0.06039081,0,0,,6
3.799997,110.59082,4.27482,7.47501755,0.06039081,0,0,,6
3.819997,110.59082,4.27482,7.47501755,0.06039081,0,0,,6
3.839997,110.59082,4.27482,7.47501755,0.06039081,0,0,,6
3.859997,110.59082,4.27482,7.47501755,0.06039081,0,0,,6
3.879997,110.555824,4.27482,7.186836,0.493777156,0,0,,6
3.899997,110.555824,4.27482,7.186836,0.493777156,0,0,,6
3.919997,110.555824,4.27482,7.186836,0.493777156,0,0,,6
3.939997,110.555824,4.27482,7.186836,0.493777156,0,0,,6
3.959997,110.555824,4.27482,7.186836,0.493777156,0,0,,6
3.979997,110.555824,4.27482,7.186836,0.493777156,0,0,,6
3.999997,110.555824,4.27482,7.186836,0.493777156,0,0,,6
4.019997,110.555824,4.27482,7.186836,0.493777156,0,0,,6
4.039997,110.555824,4.27482,7.186836,0.493777156,0,0,,6
4.059997,110.555824,4.27482,7.186836,0.493777156,0,0,,6
4.079997,110.555824,4.27482,7.186836,0.493777156,0,0,,6
4.099997,110.555824,4.27482,7.186836,0.493777156,0,0,,6
4.119997,110.555824,4.27482,7.186836,0.493777156,0,0,,6
4.139997,110.555824,4.27482,7.186836,0.493777156,0,0,,6
4.159997,110.555824,4.27482,7.186836,0.493777156,0,0,,6
4.179997,110.555824,4.27482,7.186836,0.493777156,0,0,,6
4.199997,110.555824,4.27482,7.186836,0.493777156,0,0,,6
4.219997,110.555824,4.27482,7.186836,0.493777156,0,0,,6
4.239997,110.555824,4.27482,7.186836,0.493777156,0,0,,6
4.259997,110.555824,4.27482,7.186836,0.493777156,0,0,,6
4.279997,110.555824,4.27482,7.186836,0.493777156,0,0,,6
4.299997,110.555824,4.27482,7.186836,0.493777156,0,0,,6
4.319997,110.555824,4.27482,7.186836,0.493777156,0,0,,6
4.339997,110.555824,4.27482,7.186836,0.493777156,0,0,,6
4.359997,110.555824,4.27482,7.186836,0.493777156,0,0,,6
4.379997,110.555824,4.27482,7.186836,0.493777156,0,0,,6
4.39999676,110.555824,4.27482,7.186836,0.493777156,0,0,,6
4.41999674,110.555824,4.27482,7.186836,0.493777156,0,0,,6
4.43999672,110.555824,4.27482,7.186836,0.493777156,0,0,,6
4.4599967,110.555824,4.27482,7.186836,0.493777156,0,0,,6
4.47999668,110.555824,4.27482,7.186836,0.493777156,0,0,,6
4.49999666,110.555824,4.27482,7.186836,0.493777156,0,0,,6
4.51999664,110.555824,4.27482,7.186836,0.493777156,0,0,,6
4.53999662,110.555824,4.27482,7.186836,0.493777156,0,0,,6
4.5599966,110.555824,4.27482,7.186836,0.493777156,0,0,,6
4.57999659,110.555824,4.27482,7.186836,0.493777156,0,0,,6
4.59999657,110.555824,4.27482,7.186836,0.493777156,0,0,,6
4.61999655,110.555824,4.27482,7.186836,0.493777156,0,0,,6
4.63999653,110.555824,4.27482,7.186836,0.493777156,0,0,,6
4.65999651,110.555824,4.27482,7.186836,0.493777156,0,0,,6
4.67999649,110.555824,4.27482,7.186836,0.493777156,0,0,,6
4.69999647,110.555824,4.27482,7.186836,0.493777156,0,0,,6
4.71999645,110.555824,4.27482,7.186836,0.493777156,0,0,,6
4.73999643,110.555824,4.27482,7.186836,0.493777156,0,0,,6
