
X,Y,Z,,Scale
-6.862465,3.5,-95.6334152,,8.937853
47.8475037,3.5,-48.3711,,9.114502
90.59386,3.5,3.094345,,9.411599
65.012146,3.5,-47.5995255,,8.11388
31.5965881,3.5,40.7739334,,9.879472
-63.7290878,3.5,-89.7235947,,9.86946
-28.5722427,3.5,-9.662117,,8.101599
81.72395,3.5,-58.54722,,9.026879
-90.92614,3.5,90.22366,,7.663496
-15.4819107,3.5,11.6667328,,9.555738
-84.93374,3.5,76.54579,,7.823372
44.12973,3.5,43.5133133,,7.512412
5.71508026,3.5,-51.86422,,9.185238
-43.2310867,3.5,64.68248,,9.189002
-23.7099075,3.5,35.4616776,,9.642072
13.3016968,3.5,79.84042,,7.511339
-84.82867,3.5,-96.27181,,9.015373
-94.23078,3.5,-27.4486,,7.352309
-81.30053,3.5,-22.97673,,9.363009
71.83008,3.5,-4.14370728,,9.54966
-39.69439,3.5,-97.5861,,9.414646
16.4577637,3.5,-90.13114,,8.367464
-15.646698,3.5,83.9905243,,7.511384
-33.1294327,3.5,21.1079865,,8.578001
-9.789566,3.5,-44.7184219,,9.06562
-93.7108841,3.5,-85.2815,,8.106335
64.88194,3.5,88.16583,,7.703301
19.5993042,3.5,90.39919,,8.214594
33.6018524,3.5,62.18781,,9.020056
81.4505157,3.5,25.9758377,,7.71729136
-60.7566452,3.5,66.8616943,,7.126088
-3.98743439,3.5,35.86222,,9.781005
94.35702,3.5,-11.9600754,,9.807854
-37.97608,3.5,-43.53472,,9.315337
26.9056549,3.5,-71.60119,,7.756228
70.78326,3.5,49.5249939,,7.209634
-73.45623,3.5,-6.38128662,,7.79622173
-89.96172,3.5,56.80708,,8.25859451
77.5238342,3.5,-46.6909866,,7.65257359
80.2281342,3.5,87.27095,,7.656893
-44.97219,3.5,-76.68902,,9.903016
-22.1645126,3.5,-93.61854,,9.762036
-65.5059738,3.5,-27.2004471,,7.465065
-87.36753,3.5,-37.3662949,,9.359687
-99.01411,3.5,-0.202201843,,9.768023
