
X,Y,Z,,Scale
-26.5866013,3.5,-27.0960922,,7.57440472
77.87778,3.5,-61.75251,,9.024238
76.15967,3.5,-35.852684,,9.977046
-86.779274,3.5,63.1291275,,9.421495
86.8239,3.5,-86.1063,,8.449102
76.5506,3.5,65.8743439,,9.390131
95.66761,3.5,41.9586639,,9.515456
44.6210175,3.5,26.5827332,,7.08871651
-85.38061,3.5,-51.14646,,9.75599
-4.49530029,3.5,62.1448021,,8.198385
99.99754,3.5,64.34183,,7.19537926
46.57807,3.5,74.7745056,,8.117151
34.96479,3.5,-19.9756775,,9.94693851
76.11926,3.5,-5.926918,,9.969012
13.1152954,3.5,-19.4456711,,9.579741
-44.87667,3.5,-22.580162,,7.4247
38.1459656,3.5,-65.12035,,7.68639469
-87.19346,3.5,89.59982,,8.945078
-2.408844,3.5,-73.63807,,9.956357
64.32553,3.5,-95.97292,,8.51470852
-51.65345,3.5,-73.1947556,,8.895846
34.83944,3.5,98.4820862,,9.368901
-96.48582,3.5,-0.543823242,,8.06254
0.0695343,3.5,-31.495491,,8.179683
-44.82026,3.5,-35.2559738,,9.935675
66.51201,3.5,48.1201363,,7.77493429
99.27261,3.5,-85.11039,,7.271151
-69.9500046,3.5,-26.2706985,,8.598652
90.985466,3.5,75.03459,,8.846216
-26.5317,3.5,9.360535,,9.578385
64.83006,3.5,-53.6453323,,9.429485
-52.3590164,3.5,94.0492554,,9.590059
16.1115036,3.5,69.40956,,7.991976
11.0308533,3.5,-53.43641,,9.765782
1.28642273,3.5,73.41447,,9.804398
-81.8715,3.5,2.59130859,,8.131731
-71.27241,3.5,-97.9098,,9.087302
67.7581,3.5,87.70082,,9.409891
83.8106842,3.5,97.25665,,9.118608
-35.5088577,3.5,51.1675072,,7.610413
27.4152985,3.5,30.1669083,,7.253395
-77.4244461,3.5,-73.182045,,9.522152
49.2539368,3.5,93.45238,,7.80141544
-97.831,3.5,90.7851257,,8.92687
2.228302,3.5,94.33651,,7.47534752
-32.05596,3.5,95.08948,,8.576033
-38.2604,3.5,20.3532333,,8.33494
-0.7503586,3.5,-51.80436,,7.87710333
69.57135,3.5,-74.150856,,8.66404152
84.79411,3.5,52.7808838,,8.526163
53.1326,3.5,-62.6889725,,8.637284
8.352318,3.5,-85.54522,,7.48647165
47.8239746,3.5,-88.11341,,8.464337
-39.24633,3.5,66.5734558,,7.16368341
11.5155563,3.5,33.53965,,9.730712
47.61698,3.5,40.18952,,8.57401848
42.45529,3.5,-47.080162,,8.828316
98.95404,3.5,-34.5265579,,8.752757
-73.45458,3.5,-52.1508255,,7.030993
-28.5318527,3.5,-47.705864,,7.27502966
78.19391,3.5,-22.3232651,,9.060483
40.3374939,3.5,-34.33999,,7.619238
-98.360405,3.5,-80.2114,,7.72921
-33.1503525,3.5,-85.66845,,7.31032658
-9.51432,3.5,-23.8182983,,9.002964
38.6832733,3.5,2.75793457,,7.69727945
-70.42072,3.5,55.2670135,,8.141651
-42.16857,3.5,-96.16581,,9.191761
21.19416,3.5,81.36138,,7.818506
-40.94477,3.5,85.65244,,8.645938
-14.51696,3.5,59.9018021,,9.872999
26.0274658,3.5,13.2278595,,8.351284
-24.8848038,3.5,66.696,,8.466653
57.3251228,3.5,68.02075,,9.766435
-62.0890427,3.5,39.78874,,9.117345
-51.4107437,3.5,49.7649765,,7.051954
-43.67518,3.5,-7.476921,,7.23729324
-60.1326981,3.5,8.45488,,7.765421
98.84296,3.5,-50.1651535,,9.882617
-94.63004,3.5,39.24474,,8.176683
-21.6727676,3.5,-94.15449,,8.865881
-33.2622452,3.5,-3.21080017,,8.415819
-82.82183,3.5,36.7060547,,8.43146
-52.41651,3.5,28.6502457,,9.249425
-82.94332,3.5,-92.31318,,9.242683
-55.0215836,3.5,82.0426941,,7.12317038
24.351799,3.5,-40.7818069,,8.128855
-64.67594,3.5,69.14749,,7.530078
-55.0657272,3.5,-44.8288345,,7.28391171
-22.6388779,3.5,-3.05609131,,8.46746349
-31.06417,3.5,37.3364334,,8.071665
